iter	RMSE
0	140.6194317
1	137.7078308
2	134.8955085
3	132.1752326
4	129.5225971
5	126.7748089
6	124.1486136
7	121.6464856
8	119.1294334
9	116.9965302
10	114.666448
11	112.3329311
12	110.0975382
13	107.8889492
14	105.633326
15	103.5739269
16	101.4881175
17	99.4701247
18	97.65563922
19	95.72314764
20	93.68866553
21	91.85070624
22	90.17231315
23	88.50978881
24	86.73241813
25	85.04186393
26	83.53575668
27	82.09743677
28	80.60079045
29	79.03282106
30	77.58488185
31	76.22655641
32	74.75907254
33	73.39017346
34	71.99575311
35	70.56089288
36	69.16541745
37	67.9310351
38	66.66567662
39	65.39535673
40	64.16369877
41	63.00725776
42	61.81801098
43	60.7116676
44	59.59898018
45	58.54016861
46	57.54424913
47	56.55386829
48	55.59065374
49	54.63994838
50	53.63560149
51	52.69797655
52	51.75798478
53	50.81373316
54	49.96622369
55	49.07409404
56	48.20854703
57	47.38570871
58	46.59937857
59	45.817504
60	45.06602352
61	44.24740721
62	43.46002222
63	42.70567962
64	41.99812929
65	41.30876694
66	40.61809182
67	39.96475462
68	39.29775842
69	38.68955137
70	38.08068067
71	37.54699684
72	36.93440354
73	36.41643043
74	35.84225035
75	35.253022
76	34.71680276
77	34.18709303
78	33.76757161
79	33.28453015
80	32.84300898
81	32.32365213
82	31.87416948
83	31.435652
84	30.94944856
85	30.48393116
86	30.04018116
87	29.61102227
88	29.21968688
89	28.79925082
90	28.41266221
91	27.98913622
92	27.56979837
93	27.16076592
94	26.81469212
95	26.46678963
96	26.17155564
97	25.89039668
98	25.54830002
99	25.23977938
100	24.88517547
101	24.55268333
102	24.23137642
103	23.94055656
104	23.61240129
105	23.3032505
106	22.99493087
107	22.68978982
108	22.40803066
109	22.14475733
110	21.86366105
111	21.62349198
112	21.34801842
113	21.07601272
114	20.81679374
115	20.57768905
116	20.33163474
117	20.08284515
118	19.84350487
119	19.62678323
120	19.41671959
121	19.20671882
122	18.97809204
123	18.77639801
124	18.59769508
125	18.4153892
126	18.22621448
127	18.01798451
128	17.83880891
129	17.65841992
130	17.49967321
131	17.34945964
132	17.16965918
133	16.9881096
134	16.81013431
135	16.63395639
136	16.46833488
137	16.30190764
138	16.16001424
139	16.00975531
140	15.85135422
141	15.7307494
142	15.57680054
143	15.42167566
144	15.27610103
145	15.14336393
146	14.99813829
147	14.86761281
148	14.72812556
149	14.60644864
150	14.48115048
151	14.37366804
152	14.25010649
153	14.13010409
154	14.04814357
155	13.94453099
156	13.85557348
157	13.73976646
158	13.63440248
159	13.5154078
160	13.41844418
161	13.33017324
162	13.23373671
163	13.13241105
164	13.01923164
165	12.92701328
166	12.85490718
167	12.74943995
168	12.65775336
169	12.56222424
170	12.48757939
171	12.39153826
172	12.31760969
173	12.23892927
174	12.15245776
175	12.06827816
176	11.97608297
177	11.881544
178	11.8423136
179	11.76429705
180	11.70336836
181	11.62102061
182	11.56762633
183	11.50706117
184	11.43319521
185	11.3794538
186	11.30523805
187	11.22809622
188	11.15605758
189	11.08628533
190	11.04723546
191	10.98254394
192	10.93669078
193	10.86350876
194	10.80025852
195	10.73561591
196	10.68928775
197	10.62485452
198	10.57046345
199	10.49390002
200	10.42460634
201	10.3659866
202	10.30797265
203	10.25330814
204	10.21464673
205	10.17231104
206	10.11123608
207	10.06565275
208	10.01722483
209	9.988684832
210	9.937773407
211	9.872929106
212	9.852753597
213	9.812948284
214	9.76368288
