iter	Passed	Remaining
0	136	88883
1	248	80971
2	356	77302
3	505	82097
4	625	81008
5	739	79772
6	858	79196
7	987	79593
8	1104	79060
9	1166	75003
10	1285	75040
11	1403	74991
12	1521	74900
13	1621	74008
14	1747	74341
15	1852	73746
16	1985	74271
17	2110	74462
18	2222	74170
19	2345	74237
20	2460	74044
21	2572	73791
22	2685	73556
23	2799	73382
24	2914	73213
25	3026	72996
26	3087	71576
27	3209	71643
28	3322	71489
29	3447	71595
30	3565	71548
31	3686	71548
32	3801	71418
33	3912	71237
34	4014	70891
35	4128	70753
36	4237	70554
37	4346	70337
38	4456	70155
39	4564	69956
40	4673	69757
41	4745	69041
42	4854	68865
43	4963	68699
44	5070	68506
45	5184	68408
46	5296	68287
47	5403	68105
48	5517	68008
49	5627	67866
50	5736	67712
51	5846	67577
52	5953	67396
53	6060	67223
54	6169	67082
55	6279	66938
56	6392	66839
57	6522	66910
58	6593	66378
59	6700	66219
60	6812	66116
61	6921	65978
62	7053	66057
63	7188	66158
64	7327	66287
65	7458	66332
66	7593	66418
67	7726	66473
68	7859	66518
69	8005	66674
70	8133	66670
71	8251	66581
72	8367	66478
73	8481	66364
74	8599	66271
75	8708	66116
76	8824	66012
77	8934	65862
78	8981	65257
79	9092	65124
80	9213	65064
81	9324	64928
82	9396	64532
83	9505	64386
84	9616	64258
85	9738	64203
86	9877	64260
87	10025	64367
88	10179	64510
89	10310	64495
90	10439	64475
91	10562	64408
92	10685	64342
93	10817	64332
94	10935	64231
95	11068	64222
96	11154	63938
97	11231	63608
98	11350	63515
99	11489	63535
100	11631	63569
101	11799	63739
102	11958	63856
103	12112	63941
104	12227	63814
105	12337	63665
106	12454	63555
107	12573	63450
108	12691	63339
109	12802	63199
110	12913	63053
111	13025	62918
112	13169	62934
113	13288	62828
114	13400	62690
115	13516	62574
116	13632	62452
117	13750	62342
118	13869	62239
119	13980	62097
120	14095	61971
121	14209	61844
122	14329	61746
123	14452	61656
124	14570	61545
125	14702	61494
126	14820	61384
127	14955	61339
128	15077	61246
129	15198	61144
130	15338	61119
131	15453	60992
132	15618	61064
133	15739	60959
134	15849	60815
135	15966	60696
136	16110	60679
137	16232	60576
138	16372	60544
139	16494	60440
140	16614	60329
141	16753	60289
142	16869	60163
143	16971	59989
144	17055	59752
145	17146	59541
146	17239	59340
147	17315	59083
148	17395	58841
149	17472	58591
150	17557	58369
151	17642	58150
152	17725	57926
153	17837	57796
154	17954	57687
155	18030	57442
156	18105	57200
157	18220	57081
158	18335	56968
159	18451	56853
160	18568	56742
161	18682	56623
162	18795	56501
163	18909	56382
164	19026	56272
165	19140	56151
166	19218	55930
167	19331	55806
168	19440	55675
169	19552	55552
170	19660	55417
171	19776	55303
172	19895	55202
173	20024	55125
174	20163	55073
175	20281	54968
176	20395	54848
177	20508	54727
178	20547	54409
179	20658	54285
180	20733	54067
181	20849	53957
182	20929	53753
183	21051	53657
184	21166	53546
185	21227	53296
186	21343	53187
187	21458	53076
188	21578	52976
189	21691	52857
190	21764	52645
191	21918	52627
192	21988	52407
193	22100	52288
194	22205	52155
195	22306	52009
196	22408	51868
197	22521	51754
198	22636	51643
199	22745	51518
200	22854	51393
201	22972	51289
202	23080	51163
203	23184	51028
204	23286	50890
205	23367	50706
206	23474	50577
207	23572	50431
208	23681	50308
209	23790	50186
210	23874	50011
