product_id,date,store_id,sales_quantity,price,promotions,seasonality_factors,external_factors,demand_trend,customer_segments,price_opt,competitor_prices,elasticity_index,has_pricing_data,daily_sales_lag_7,daily_sales_lag_14,daily_rolling_mean_7,daily_rolling_std_7
8875,2024-01-01,90,117,43.28,True,Festival,Weather,Decreasing,Budget,,,,False,,,,
8844,2024-01-01,37,436,19.62,False,Holiday,Economic Indicator,Increasing,Premium,,,,False,,,,
6538,2024-01-01,44,425,61.21,False,Unknown,Economic Indicator,Decreasing,Regular,,,,False,,,,
5381,2024-01-01,48,304,29.54,True,Holiday,Weather,Decreasing,Regular,,,,False,,,,
7885,2024-01-01,31,492,77.06,True,Holiday,Economic Indicator,Increasing,Regular,,,,False,,,,
9451,2024-01-01,29,209,94.7,False,Unknown,Competitor Pricing,Increasing,Budget,,,,False,,,,
6717,2024-01-01,39,64,53.93,False,Holiday,Weather,Increasing,Budget,,,,False,,,,
9839,2024-01-01,62,29,70.33,False,Holiday,Economic Indicator,Decreasing,Budget,,,,False,,,,
4919,2024-01-01,1,196,50.55,False,Unknown,Economic Indicator,Increasing,Premium,,,,False,,,,
5146,2024-01-01,87,109,12.9,False,Holiday,Economic Indicator,Stable,Regular,,,,False,,,,
5627,2024-01-01,86,224,12.64,True,Unknown,Economic Indicator,Stable,Regular,,,,False,,,,
5778,2024-01-01,25,81,80.45,False,Unknown,Weather,Stable,Budget,,,,False,,,,
9310,2024-01-01,14,306,28.38,True,Unknown,Competitor Pricing,Decreasing,Regular,,,,False,,,,
5215,2024-01-01,96,422,35.81,False,Festival,Competitor Pricing,Stable,Regular,,,,False,,,,
3662,2024-01-01,82,468,62.24,True,Festival,Weather,Stable,Premium,,,,False,,,,
8297,2024-01-01,5,412,15.4,True,Holiday,Competitor Pricing,Decreasing,Premium,,,,False,,,,
4408,2024-01-01,57,99,99.21,True,Festival,Unknown,Stable,Regular,,,,False,,,,
2524,2024-01-01,55,203,78.07,True,Holiday,Competitor Pricing,Decreasing,Premium,,,,False,,,,
8706,2024-01-01,99,245,63.71,False,Holiday,Competitor Pricing,Increasing,Budget,,,,False,,,,
5742,2024-01-01,8,127,51.51,False,Festival,Unknown,Increasing,Budget,,,,False,,,,
2339,2024-01-01,91,293,7.18,False,Holiday,Economic Indicator,Decreasing,Budget,,,,False,,,,
3438,2024-01-01,85,47,56.66,False,Unknown,Economic Indicator,Stable,Premium,,,,False,,,,
8463,2024-01-01,8,394,68.61,False,Unknown,Weather,Decreasing,Regular,,,,False,,,,
8985,2024-01-01,92,126,86.79,False,Holiday,Competitor Pricing,Stable,Budget,,,,False,,,,
5038,2024-01-01,5,427,40.79,False,Holiday,Unknown,Increasing,Regular,,,,False,,,,
4853,2024-01-02,68,413,91.51,True,Holiday,Unknown,Increasing,Regular,,,,False,,,,
7104,2024-01-02,18,475,86.55,False,Holiday,Economic Indicator,Stable,Premium,,,,False,,,,
2528,2024-01-02,59,297,34.27,True,Holiday,Weather,Increasing,Regular,,,,False,,,,
9360,2024-01-02,99,85,93.36,False,Unknown,Unknown,Increasing,Regular,,,,False,,,,
7660,2024-01-02,23,372,63.98,False,Unknown,Competitor Pricing,Increasing,Premium,,,,False,,,,
8785,2024-01-02,94,276,77.77,True,Festival,Weather,Stable,Premium,,,,False,,,,
8776,2024-01-02,40,218,80.23,True,Festival,Economic Indicator,Decreasing,Regular,,,,False,,,,
2287,2024-01-02,78,392,65.37,True,Festival,Economic Indicator,Decreasing,Premium,,,,False,,,,
7319,2024-01-02,74,484,69.6,True,Festival,Competitor Pricing,Decreasing,Premium,,,,False,,,,
4846,2024-01-02,70,82,6.76,True,Festival,Competitor Pricing,Decreasing,Regular,,,,False,,,,
2879,2024-01-02,22,225,83.74,True,Holiday,Weather,Increasing,Budget,,,,False,,,,
1954,2024-01-02,27,481,28.69,True,Festival,Weather,Stable,Budget,,,,False,,,,
9183,2024-01-02,50,358,25.49,True,Holiday,Competitor Pricing,Stable,Budget,,,,False,,,,
5391,2024-01-02,58,147,6.41,True,Holiday,Economic Indicator,Stable,Premium,,,,False,,,,
9616,2024-01-02,83,352,79.49,True,Unknown,Unknown,Stable,Regular,,,,False,,,,
3979,2024-01-02,88,469,95.44,False,Festival,Weather,Increasing,Premium,,,,False,,,,
4490,2024-01-02,73,471,95.92,False,Unknown,Unknown,Decreasing,Regular,,,,False,,,,
5858,2024-01-02,10,128,16.77,False,Holiday,Unknown,Increasing,Premium,,,,False,,,,
3329,2024-01-02,56,172,75.95,True,Festival,Weather,Stable,Regular,,,,False,,,,
3751,2024-01-02,38,380,25.18,True,Unknown,Unknown,Increasing,Premium,,,,False,,,,
6489,2024-01-02,94,473,84.63,True,Unknown,Unknown,Decreasing,Premium,,,,False,,,,
5171,2024-01-02,76,494,13.94,True,Festival,Unknown,Stable,Regular,,,,False,,,,
9031,2024-01-02,73,81,71.3,False,Festival,Unknown,Increasing,Premium,,,,False,,,,
7043,2024-01-02,56,44,55.52,False,Festival,Unknown,Decreasing,Premium,,,,False,,,,
9137,2024-01-02,64,474,6.93,False,Unknown,Economic Indicator,Stable,Regular,,,,False,,,,
8377,2024-01-02,86,339,21.98,True,Unknown,Economic Indicator,Increasing,Regular,,,,False,,,,
9516,2024-01-02,21,499,51.95,False,Festival,Competitor Pricing,Increasing,Regular,,,,False,,,,
7631,2024-01-02,27,438,37.94,False,Unknown,Weather,Increasing,Budget,,,,False,,,,
1717,2024-01-03,21,262,23.45,True,Unknown,Economic Indicator,Stable,Premium,,,,False,,,,
7908,2024-01-03,73,140,93.34,False,Unknown,Unknown,Stable,Premium,,,,False,,,,
4858,2024-01-03,33,107,51.63,True,Unknown,Weather,Decreasing,Budget,,,,False,,,,
5898,2024-01-03,28,115,34.29,False,Unknown,Unknown,Stable,Premium,,,,False,,,,
9950,2024-01-03,50,141,55.95,False,Holiday,Economic Indicator,Decreasing,Budget,,,,False,,,,
9592,2024-01-03,95,410,18.31,True,Unknown,Competitor Pricing,Decreasing,Regular,,,,False,,,,
3239,2024-01-03,29,407,39.71,True,Holiday,Competitor Pricing,Stable,Regular,,,,False,,,,
6908,2024-01-03,2,152,13.72,True,Unknown,Competitor Pricing,Decreasing,Premium,,,,False,,,,
1248,2024-01-03,95,413,74.32,True,Festival,Unknown,Stable,Regular,,,,False,,,,
1869,2024-01-03,71,266,72.58,False,Holiday,Weather,Increasing,Regular,,,,False,,,,
4579,2024-01-03,35,162,73.03,True,Holiday,Weather,Increasing,Budget,,,,False,,,,
4215,2024-01-03,77,336,14.34,True,Festival,Economic Indicator,Increasing,Premium,,,,False,,,,
6917,2024-01-03,57,274,81.64,True,Holiday,Unknown,Increasing,Budget,,,,False,,,,
9725,2024-01-03,40,230,29.55,True,Festival,Weather,Decreasing,Regular,,,,False,,,,
8496,2024-01-03,55,243,59.48,False,Holiday,Unknown,Decreasing,Budget,,,,False,,,,
9798,2024-01-03,54,25,80.85,True,Holiday,Unknown,Decreasing,Regular,,,,False,,,,
4480,2024-01-03,43,62,87.03,False,Festival,Competitor Pricing,Stable,Premium,,,,False,,,,
1589,2024-01-03,18,490,5.92,True,Holiday,Competitor Pricing,Stable,Budget,,,,False,,,,
5252,2024-01-03,91,116,64.75,True,Unknown,Economic Indicator,Stable,Budget,,,,False,,,,
3858,2024-01-03,98,392,70.59,True,Festival,Unknown,Stable,Budget,,,,False,,,,
9398,2024-01-03,24,33,93.96,True,Unknown,Competitor Pricing,Increasing,Budget,,,,False,,,,
5553,2024-01-03,36,132,90.44,True,Unknown,Weather,Decreasing,Regular,,,,False,,,,
5296,2024-01-03,47,12,92.65,True,Holiday,Weather,Stable,Regular,,,,False,,,,
6722,2024-01-03,58,337,17.51,True,Unknown,Competitor Pricing,Decreasing,Regular,,,,False,,,,
2347,2024-01-03,25,402,27.11,True,Festival,Weather,Increasing,Premium,,,,False,,,,
4277,2024-01-03,48,330,24.38,False,Festival,Competitor Pricing,Increasing,Regular,,,,False,,,,
3953,2024-01-03,13,441,68.87,True,Unknown,Competitor Pricing,Increasing,Premium,,,,False,,,,
8311,2024-01-03,22,69,48.68,False,Holiday,Economic Indicator,Stable,Regular,,,,False,,,,
3139,2024-01-03,3,99,59.71,False,Festival,Competitor Pricing,Increasing,Budget,,,,False,,,,
3265,2024-01-03,12,158,31.6,True,Unknown,Weather,Increasing,Budget,,,,False,,,,
8612,2024-01-03,25,236,39.4,False,Unknown,Unknown,Increasing,Budget,,,,False,,,,
1620,2024-01-03,83,464,52.12,False,Festival,Competitor Pricing,Decreasing,Premium,,,,False,,,,
4208,2024-01-03,91,212,16.15,True,Unknown,Weather,Stable,Budget,,,,False,,,,
5133,2024-01-04,51,159,16.42,True,Holiday,Competitor Pricing,Stable,Regular,,,,False,,,,
8378,2024-01-04,89,26,86.4,False,Festival,Economic Indicator,Decreasing,Premium,,,,False,,,,
1710,2024-01-04,62,245,95.63,True,Holiday,Economic Indicator,Decreasing,Budget,,,,False,,,,
4445,2024-01-04,44,26,66.09,True,Holiday,Weather,Stable,Premium,,,,False,,,,
3404,2024-01-04,36,304,83.74,False,Festival,Economic Indicator,Increasing,Premium,,,,False,,,,
4913,2024-01-04,66,402,53.21,False,Festival,Economic Indicator,Decreasing,Regular,,,,False,,,,
4382,2024-01-04,63,412,75.32,False,Festival,Unknown,Decreasing,Budget,,,,False,,,,
5067,2024-01-04,84,322,87.69,False,Festival,Unknown,Increasing,Regular,,,,False,,,,
4863,2024-01-04,38,29,62.69,False,Festival,Competitor Pricing,Increasing,Budget,,,,False,,,,
