product_id,store_id,date,sales_quantity,price,promotions,seasonality_factors,external_factors,demand_trend,customer_segments,price_opt,competitor_prices,elasticity_index,has_pricing_data,price_vs_competitor_pct,discount_pct,promo_flag,revenue,promo_x_elasticity,daily_sales_lag_7,daily_sales_lag_14,daily_rolling_mean_7,daily_rolling_std_7,forecasted_demand,stock_levels,supplier_lead_time_days,stockout_frequency,reorder_point,warehouse_capacity,stockout_risk,overstock_risk
3137,26,2024-10-23,459,8.27,0,Unknown,Weather,Decreasing,Premium,,,,0,,,0,3795.93,0.0,4977.0,8972.0,6958.142857142857,1152.2145964144288,456.44908700389146,55.0,7.0,10.0,141.0,4383.0,True,False
8050,74,2024-10-27,492,91.37,1,Festival,Competitor Pricing,Decreasing,Premium,,,,0,,,1,44954.04,0.0,7755.0,5564.0,7436.714285714285,863.5588600448064,482.0424671095245,78.0,9.0,13.0,100.0,4824.0,True,False
6040,3,2024-10-27,477,51.77,1,Holiday,Competitor Pricing,Increasing,Regular,,,,0,,,1,24694.29,0.0,7755.0,5564.0,7436.714285714285,863.5588600448064,474.70547863171225,982.0,16.0,3.0,80.0,4327.0,False,False
2149,36,2024-10-31,54,6.25,0,Festival,Economic Indicator,Decreasing,Regular,,,,0,,,0,337.5,0.0,7271.0,7785.0,7142.0,1843.03653427344,45.3136096714273,299.0,14.0,7.0,10.0,4286.0,False,True
1099,24,2024-10-31,348,73.28,1,Holiday,Competitor Pricing,Decreasing,Budget,,,,0,,,1,25501.44,0.0,7271.0,7785.0,7142.0,1843.03653427344,347.5426501620783,97.0,15.0,5.0,105.0,2758.0,True,False
4443,75,2024-11-01,206,51.6,0,Holiday,Competitor Pricing,Increasing,Premium,,,,0,,,0,10629.6,0.0,6856.0,5924.0,6633.714285714285,2247.7255700141054,207.2362773404354,518.0,19.0,10.0,75.0,1418.0,False,False
6435,73,2024-11-02,44,22.81,0,Festival,Economic Indicator,Stable,Budget,,,,0,,,0,1003.64,0.0,9260.0,8232.0,6816.714285714285,2319.829570915768,44.456825576048544,2.0,24.0,6.0,132.0,4992.0,True,False
9818,59,2024-11-02,446,48.72,0,Holiday,Economic Indicator,Stable,Budget,,,,0,,,0,21729.12,0.0,9260.0,8232.0,6816.714285714285,2319.829570915768,444.772113674606,627.0,24.0,19.0,24.0,1486.0,False,False
2684,65,2024-11-03,471,66.15,0,Unknown,Competitor Pricing,Stable,Budget,,,,0,,,0,31156.65,0.0,5254.0,7755.0,6356.857142857143,2059.185229532257,469.3384888850668,171.0,10.0,3.0,94.0,4460.0,True,False
9340,3,2024-11-03,109,12.53,1,Unknown,Unknown,Decreasing,Premium,,,,0,,,1,1365.77,0.0,5254.0,7755.0,6356.857142857143,2059.185229532257,107.10663025537013,654.0,24.0,18.0,42.0,4677.0,False,True
5724,84,2024-11-12,485,73.54,1,Holiday,Unknown,Stable,Regular,,,,0,,,1,35666.9,0.0,7075.0,6863.0,7302.0,1526.6975251611943,485.8573059593049,816.0,14.0,5.0,69.0,3877.0,False,False
4272,4,2024-11-12,359,40.36,1,Holiday,Competitor Pricing,Stable,Premium,,,,0,,,1,14489.24,0.0,7075.0,6863.0,7302.0,1526.6975251611943,356.37773554216875,932.0,26.0,1.0,123.0,3475.0,False,False
3340,82,2024-11-13,212,66.75,0,Festival,Unknown,Decreasing,Budget,,,,0,,,0,14151.0,0.0,8734.0,4782.0,7227.714285714285,1552.024668434286,213.22030793511564,910.0,19.0,16.0,152.0,2317.0,False,False
8187,93,2024-11-13,237,53.47,0,Festival,Competitor Pricing,Increasing,Regular,,,,0,,,0,12672.39,0.0,8734.0,4782.0,7227.714285714285,1552.024668434286,236.44116922661254,392.0,1.0,15.0,90.0,2190.0,False,False
1067,19,2024-11-14,335,39.26,0,Unknown,Unknown,Decreasing,Budget,,,,0,,,0,13152.1,0.0,5906.0,3713.0,7052.142857142857,1416.8566651301735,338.043554681548,373.0,14.0,5.0,49.0,1760.0,False,False
6138,64,2024-11-15,67,75.44,1,Holiday,Unknown,Decreasing,Premium,,,,0,,,1,5054.48,0.0,8289.0,8137.0,6776.714285714285,1809.7228806538028,66.76465240501551,438.0,28.0,1.0,88.0,1797.0,False,True
1222,84,2024-11-25,406,90.35,1,Festival,Economic Indicator,Decreasing,Budget,,,,0,,,1,36682.1,0.0,7553.0,7219.0,6216.285714285715,926.2288619784584,409.6701867710202,664.0,28.0,8.0,98.0,3330.0,False,False
8163,84,2024-11-27,129,39.6,1,Unknown,Economic Indicator,Decreasing,Budget,,,,0,,,1,5108.4,0.0,6292.0,7505.0,6415.571428571428,2220.8168810254524,127.57791388345585,505.0,17.0,13.0,40.0,3001.0,False,False
2440,56,2024-11-29,278,96.68,1,Festival,Competitor Pricing,Decreasing,Budget,,,,0,,,1,26877.04,0.0,6750.0,7652.0,6301.857142857143,2259.9430249876827,279.93498793095665,826.0,11.0,5.0,185.0,3321.0,False,False
7658,20,2024-12-01,417,42.07,1,Holiday,Unknown,Stable,Premium,,,,0,,,1,17543.19,0.0,6296.0,5988.0,6451.285714285715,2238.888244515248,422.33450001936353,74.0,18.0,1.0,152.0,4676.0,True,False
