product_id,store_id,date,sales_quantity,price,promotions,seasonality_factors,external_factors,demand_trend,customer_segments,price_opt,competitor_prices,elasticity_index,has_pricing_data,price_vs_competitor_pct,discount_pct,promo_flag,revenue,promo_x_elasticity,daily_sales_lag_7,daily_sales_lag_14,daily_rolling_mean_7,daily_rolling_std_7
8875,90,2024-01-01,117,43.28,1,Festival,Weather,Decreasing,Budget,,,,0,,,1,5063.76,0.0,,,,
8844,37,2024-01-01,436,19.62,0,Holiday,Economic Indicator,Increasing,Premium,,,,0,,,0,8554.32,0.0,,,,
6538,44,2024-01-01,425,61.21,0,Unknown,Economic Indicator,Decreasing,Regular,,,,0,,,0,26014.25,0.0,,,,
5381,48,2024-01-01,304,29.54,1,Holiday,Weather,Decreasing,Regular,,,,0,,,1,8980.16,0.0,,,,
7885,31,2024-01-01,492,77.06,1,Holiday,Economic Indicator,Increasing,Regular,,,,0,,,1,37913.52,0.0,,,,
9451,29,2024-01-01,209,94.7,0,Unknown,Competitor Pricing,Increasing,Budget,,,,0,,,0,19792.3,0.0,,,,
6717,39,2024-01-01,64,53.93,0,Holiday,Weather,Increasing,Budget,,,,0,,,0,3451.52,0.0,,,,
9839,62,2024-01-01,29,70.33,0,Holiday,Economic Indicator,Decreasing,Budget,,,,0,,,0,2039.57,0.0,,,,
4919,1,2024-01-01,196,50.55,0,Unknown,Economic Indicator,Increasing,Premium,,,,0,,,0,9907.8,0.0,,,,
5146,87,2024-01-01,109,12.9,0,Holiday,Economic Indicator,Stable,Regular,,,,0,,,0,1406.1,0.0,,,,
5627,86,2024-01-01,224,12.64,1,Unknown,Economic Indicator,Stable,Regular,,,,0,,,1,2831.36,0.0,,,,
5778,25,2024-01-01,81,80.45,0,Unknown,Weather,Stable,Budget,,,,0,,,0,6516.45,0.0,,,,
9310,14,2024-01-01,306,28.38,1,Unknown,Competitor Pricing,Decreasing,Regular,,,,0,,,1,8684.28,0.0,,,,
5215,96,2024-01-01,422,35.81,0,Festival,Competitor Pricing,Stable,Regular,,,,0,,,0,15111.82,0.0,,,,
3662,82,2024-01-01,468,62.24,1,Festival,Weather,Stable,Premium,,,,0,,,1,29128.32,0.0,,,,
8297,5,2024-01-01,412,15.4,1,Holiday,Competitor Pricing,Decreasing,Premium,,,,0,,,1,6344.8,0.0,,,,
4408,57,2024-01-01,99,99.21,1,Festival,Unknown,Stable,Regular,,,,0,,,1,9821.79,0.0,,,,
2524,55,2024-01-01,203,78.07,1,Holiday,Competitor Pricing,Decreasing,Premium,,,,0,,,1,15848.21,0.0,,,,
8706,99,2024-01-01,245,63.71,0,Holiday,Competitor Pricing,Increasing,Budget,,,,0,,,0,15608.95,0.0,,,,
5742,8,2024-01-01,127,51.51,0,Festival,Unknown,Increasing,Budget,,,,0,,,0,6541.77,0.0,,,,
2339,91,2024-01-01,293,7.18,0,Holiday,Economic Indicator,Decreasing,Budget,,,,0,,,0,2103.74,0.0,,,,
3438,85,2024-01-01,47,56.66,0,Unknown,Economic Indicator,Stable,Premium,,,,0,,,0,2663.02,0.0,,,,
8463,8,2024-01-01,394,68.61,0,Unknown,Weather,Decreasing,Regular,,,,0,,,0,27032.34,0.0,,,,
8985,92,2024-01-01,126,86.79,0,Holiday,Competitor Pricing,Stable,Budget,,,,0,,,0,10935.54,0.0,,,,
5038,5,2024-01-01,427,40.79,0,Holiday,Unknown,Increasing,Regular,,,,0,,,0,17417.33,0.0,,,,
